model;ACC;Precision;Recall;F1;ROC;Jaccard
LogisticRegression;0.90875;0.6329113924050633;0.2994011976047904;0.4065040650406504;0.6395819665623393;0.25510204081632654
KNeighborsClassifier;0.889375;0.41935483870967744;0.15568862275449102;0.2270742358078603;0.5652832506654522;0.12807881773399016
DecisionTreeClassifier;0.959375;0.7865168539325843;0.8383233532934131;0.8115942028985507;0.9059027792287024;0.6829268292682927
ExtraTreeClassifier;0.8975;0.5085714285714286;0.5329341317365269;0.5204678362573099;0.7364600875012013;0.35177865612648224
RandomForestClassifier;0.96125;0.8947368421052632;0.7125748502994012;0.7933333333333333;0.8514025682062253;0.6574585635359116
BaggingClassifier;0.96875;0.9090909090909091;0.7784431137724551;0.8387096774193549;0.8846856182958578;0.7222222222222222
AdaBoostClassifier;0.9425;0.8048780487804879;0.592814371257485;0.6827586206896552;0.7880331451542135;0.518324607329843
GradientBoostingClassifier;0.965;0.8881118881118881;0.7604790419161677;0.8193548387096774;0.8746568273083978;0.6939890710382514
SVC;0.895625;0.0;0.0;0.0;0.5;0.0
XGBClassifier;0.97375;0.9032258064516129;0.8383233532934131;0.8695652173913042;0.9139279013501259;0.7692307692307693
VotingClassifier;0.9575;0.8778625954198473;0.688622754491018;0.7718120805369127;0.838728683595823;0.6284153005464481
LinearDiscriminantAnalysis;0.903125;0.5461538461538461;0.4251497005988024;0.4781144781144781;0.6919886674661843;0.3141592920353982
